# k	cb	gl	xy
188	0.172861	1.31493	0.671825
189	0.274042	2.6381	1.14298
190	0.170095	1.10552	0.55574
191	0.137869	1.16512	0.588112
192	0.145119	1.33821	0.593406
193	0.178292	1.05669	0.586991
194	0.153753	1.11031	0.553314
195	0.149034	1.31284	0.582365
196	0.146802	1.2532	0.619211
197	0.140464	1.22545	0.560299
198	0.137047	1.06491	0.502716
199	0.13249	0.992367	0.627063
200	0.132811	1.16455	0.596642
201	0.135495	1.33455	0.623816
202	0.236742	2.21081	1.00617
203	0.168611	1.70594	0.791354
204	0.13359	1.27405	0.61961
205	0.213474	2.19043	0.987705
206	0.198734	1.87497	0.842098
207	0.279992	2.696	1.16481
208	0.16549	1.51552	0.70796
209	0.155912	1.39613	0.794217
210	0.163613	1.37483	0.594703
211	0.124045	1.12014	0.586339
212	0.151335	1.05906	0.523712
213	0.133802	1.28662	0.606677
214	0.139103	1.13567	0.60296
215	0.136238	1.03962	0.54002
216	0.13792	1.20105	0.572501
217	0.156891	1.07953	0.622441
218	0.128518	0.984208	0.56507
219	0.159497	1.38561	0.615332
220	0.25198	2.15085	1.00315
221	0.168965	1.72466	0.943676
222	0.14967	1.30113	0.657536
223	0.215625	2.14714	0.996387
224	0.167753	1.54339	0.714171
225	0.280137	2.6965	1.16461
226	0.151353	1.21295	0.538907
227	0.146587	1.08052	0.595807
228	0.173561	1.51559	0.632198
229	0.12491	1.25085	0.612863
230	0.140545	1.02886	0.57226
231	0.162667	1.4068	0.634577
232	0.138817	1.17237	0.527069
233	0.15427	1.18891	0.614253
234	0.154391	1.0653	0.539451
235	0.140803	1.05127	0.510221
236	0.133692	1.07867	0.610941
237	0.155589	1.50455	0.638389
238	0.22634	2.1731	1.00814
239	0.150141	1.84521	0.984267
240	0.153769	1.24462	0.667479
241	0.219055	2.07043	1.00668
242	0.184349	1.87143	0.900382
243	0.280626	2.70127	1.16651
244	0.143893	1.28426	0.632606
245	0.174774	1.31964	0.593741
246	0.159946	1.59259	0.693331
247	0.121606	1.27907	0.514623
248	0.130209	1.00239	0.496517
249	0.164679	1.51975	0.637258
250	0.144465	1.34113	0.606082
251	0.182437	1.16149	0.57103
252	0.175523	1.03549	0.562739
253	0.140688	1.02884	0.663496
254	0.132944	0.969387	0.499746
255	0.156884	1.46264	0.633447
256	0.230205	2.14051	1.00443
257	0.154846	2.06688	0.762797
258	0.148811	1.32113	0.689616
259	0.227226	2.34458	0.977615
260	0.206846	2.03223	0.931942
261	0.280368	2.69882	1.16544
262	0.144073	1.04446	0.58294
263	0.157421	1.05037	0.658087
264	0.174016	1.69614	0.736671
265	0.13745	1.02305	0.531856
266	0.159524	1.3126	0.471495
267	0.162368	1.5372	0.63094
268	0.172736	1.30642	0.702525
269	0.156134	1.11028	0.60523
270	0.132224	1.30071	0.597281
271	0.129593	1.37138	0.656263
272	0.122113	1.10618	0.550502
273	0.147875	1.47821	0.675717
274	0.248653	2.06199	0.994997
275	0.192359	1.98313	0.857393
276	0.14594	1.38897	0.688411
277	0.231365	2.17312	0.992085
278	0.231891	2.08391	0.92469
279	0.280369	2.69939	1.16583
280	0.177348	1.18052	0.581924
281	0.16143	1.2823	0.523794
282	0.201559	1.66393	0.699707
283	0.147186	1.09726	0.616654
284	0.148651	1.29561	0.603481
285	0.155353	1.44654	0.632221
286	0.16171	1.06031	0.687411
287	0.140764	0.93703	0.575196
288	0.166736	1.28104	0.578051
289	0.135924	1.16781	0.581085
