# k	cb	gl	xy
184	0.243796	2.05993	0.948457
185	0.0755827	1.14923	0.556926
186	0.0964892	1.04328	0.52016
187	0.204301	1.91414	0.792043
188	0.0902043	0.82765	0.493527
189	0.271749	2.59516	1.12207
190	0.0688859	0.797323	0.280496
191	0.0609704	0.554092	0.25473
192	0.0967853	0.840908	0.441712
193	0.0679268	0.888097	0.287982
194	0.0711531	0.566365	0.30773
195	0.0982662	0.728819	0.425867
196	0.0639264	0.560957	0.225629
197	0.0653396	0.565479	0.263179
198	0.0951843	0.766415	0.429936
199	0.0906386	0.682948	0.27937
200	0.067878	0.559269	0.276702
201	0.0906483	1.01618	0.446884
202	0.205002	2.06018	0.953492
203	0.0767444	1.03667	0.742949
204	0.0969413	1.01038	0.513925
205	0.206072	1.91233	0.949553
206	0.0945979	0.893924	0.527037
207	0.277669	2.66903	1.15174
208	0.14646	0.582148	0.239165
209	0.0525431	0.672047	0.276411
210	0.0922946	0.915019	0.519818
211	0.0722386	0.749279	0.273351
212	0.0805021	0.553644	0.267076
213	0.0908165	0.909558	0.44418
214	0.0790376	0.578986	0.248086
215	0.0555177	0.55945	0.280412
216	0.0903868	0.790749	0.429304
217	0.080797	0.593299	0.252212
218	0.0613029	0.612327	0.284448
219	0.129621	1.11267	0.47915
220	0.204153	2.04764	0.949146
221	0.062339	1.5423	0.689756
222	0.0903159	1.02339	0.481161
223	0.204938	2.04946	0.787901
224	0.110831	1.1523	0.615282
225	0.277988	2.67319	1.15337
226	0.0691639	0.645914	0.31777
227	0.0521716	0.602084	0.252336
228	0.127746	1.0229	0.483576
229	0.067441	0.597031	0.263563
230	0.0625072	0.610664	0.248012
231	0.118652	1.05203	0.47961
232	0.0925993	0.624554	0.293511
233	0.063141	0.578511	0.268394
234	0.0990225	0.781519	0.396368
235	0.0740826	0.572344	0.258461
236	0.0741962	0.600275	0.274893
237	0.120434	0.92905	0.417893
238	0.211496	2.06031	0.954969
239	0.0793387	1.20175	0.787231
240	0.0870835	1.05176	0.570567
241	0.205105	2.08602	0.949796
242	0.115135	1.43405	0.663538
243	0.278509	2.67814	1.15541
244	0.0905823	0.596085	0.229655
245	0.0549585	0.566056	0.321134
246	0.131139	1.31344	0.588831
247	0.0759941	0.559892	0.32992
248	0.0619729	0.624681	0.275557
249	0.133302	1.01002	0.462968
250	0.0572655	0.598244	0.243576
251	0.0515992	0.536909	0.231114
252	0.0893113	0.749997	0.416666
253	0.0632638	0.580476	0.309718
254	0.0660429	0.552673	0.272263
255	0.123585	1.3151	0.57271
256	0.243862	1.92534	0.954979
257	0.0789044	1.75599	0.420956
258	0.088272	1.16843	0.605177
259	0.205137	1.83011	0.950184
260	0.114529	1.79689	0.66008
261	0.278318	2.67633	1.15463
262	0.0830462	0.580463	0.259241
263	0.0649818	0.562962	0.236863
264	0.121167	1.28207	0.570158
265	0.0690041	0.648547	0.27324
266	0.0735109	0.600798	0.250748
267	0.125285	1.39264	0.569611
268	0.0614354	0.552643	0.292971
269	0.0628255	0.549049	0.295271
270	0.0922369	0.770568	0.39085
271	0.078005	0.652141	0.394877
272	0.0619277	0.62374	0.312519
273	0.10346	1.1743	0.549737
274	0.204604	2.04817	0.954194
275	0.111114	0.957694	0.51746
276	0.110178	1.18009	0.565112
277	0.261929	2.08477	0.961614
278	0.177449	1.37074	0.785037
279	0.278325	2.67639	1.15466
280	0.0600338	0.637711	0.245549
281	0.0647305	0.555734	0.260727
282	0.11356	1.2942	0.566339
283	0.0627002	0.680321	0.270101
284	0.0558892	0.557141	0.326979
285	0.122258	1.26253	0.468306
286	0.0819709	0.746795	0.226756
287	0.071119	0.56665	0.266966
288	0.0869103	0.903494	0.477142
289	0.090757	0.879783	0.437586
290	0.0838518	0.833783	0.378243
291	0.0858388	0.854532	0.395595
292	0.204062	2.05515	0.954308
293	0.0695383	0.632317	0.360303
294	0.0911743	0.788962	0.435957
295	0.188987	2.05615	1.01113
296	0.0813939	0.599985	0.296235
297	0.118818	1.18457	0.591321
298	0.101312	0.950492	0.431689
299	0.0863322	0.750739	0.379063
300	0.0872025	0.858318	0.399508
301	0.0917071	0.891456	0.452792
302	0.0896991	0.725913	0.374661
303	0.0857612	0.865482	0.394824
304	0.0939428	0.87234	0.414281
305	0.0999451	0.706985	0.362154
306	0.0890478	0.794955	0.396042
307	0.114631	0.903346	0.32813
308	0.0645699	0.555086	0.263367
309	0.0785621	0.680034	0.343293
310	0.189601	2.05914	0.948422
311	0.0573376	0.628573	0.672994
312	0.0809442	0.819097	0.433499
313	0.124125	1.91108	0.842885
314	0.0775202	0.596615	0.263253
315	0.140719	1.38218	0.656342
316	0.0833351	0.800436	0.321861
317	0.0651044	0.547464	0.261799
318	0.0770626	0.680583	0.334666
319	0.0776313	0.726106	0.351471
320	0.0740716	0.548558	0.252583
321	0.0811587	0.73462	0.33402
322	0.0877335	0.78863	0.438902
323	0.0582287	0.55984	0.258492
324	0.0814193	0.70245	0.357333
325	0.084493	0.846138	0.277251
326	0.0644292	0.681612	0.247842
327	0.0727998	0.624796	0.330129
328	0.256182	2.33715	1.03579
329	0.0700846	1.52186	0.768516
330	0.0803127	0.685641	0.374463
331	0.204928	2.09969	1.03615
332	0.0706055	0.604848	0.299475
333	0.176662	1.72008	0.783473
334	0.0714463	1.05263	0.303925
335	0.0498986	0.538249	0.235373
336	0.0749009	0.679299	0.327845
337	0.0738394	0.612105	0.268078
338	0.0527784	0.563911	0.265106
339	0.0770894	0.634035	0.323304
340	0.0693813	0.711901	0.293427
341	0.0523948	0.554689	0.246943
342	0.0787225	0.690186	0.335103
343	0.0648392	0.61432	0.242406
344	0.057577	0.571073	0.225479
345	0.0800454	0.700581	0.326464
346	0.191001	2.05089	0.948651
347	0.075098	1.0039	0.250547
348	0.0838534	0.746813	0.397811
349	0.205197	1.78776	0.845422
350	0.082097	0.643231	0.428373
351	0.251968	2.38735	1.04508
352	0.0717731	1.07295	0.244455
353	0.0454913	0.527199	0.242599
354	0.0744602	0.689565	0.339181
355	0.0560818	0.560076	0.347735
356	0.0576283	0.584879	0.25232
357	0.0866066	0.655845	0.355932
358	0.0877141	0.763006	0.2478
359	0.0455652	0.537511	0.234202
360	0.0749683	0.633511	0.323679
361	0.0719571	0.735446	0.38363
362	0.0556265	0.540855	0.237542
363	0.0794666	0.659077	0.333477
364	0.189743	2.04796	0.948365
365	0.0812217	0.668293	0.273191
366	0.0700194	0.716677	0.388756
367	0.194067	1.91441	0.842094
368	0.104358	0.74423	0.435809
369	0.270071	2.58626	1.1212
370	0.0777719	0.541788	0.286186
371	0.0444132	0.554928	0.210923
372	0.0790455	0.726499	0.333552
373	0.067825	0.666529	0.289402
374	0.0568636	0.552441	0.230744
375	0.0811327	0.643708	0.371003
376	0.159883	0.588197	0.230759
377	0.0479153	0.550208	0.267545
378	0.0742177	0.628314	0.303658
379	0.061504	0.570917	0.335212
380	0.0494817	0.533185	0.239705
381	0.0802334	0.649098	0.331176
382	0.198127	1.90861	0.948398
383	0.0774195	0.822631	0.289258
384	0.075843	0.717305	0.387266
385	0.175375	1.93143	0.697175
386	0.0854337	1.15842	0.516548
387	0.274928	2.64451	1.14356
388	0.092355	0.53783	0.3051
389	0.0507626	0.520302	0.206546
390	0.0815938	0.748633	0.358717
391	0.235215	0.582508	0.358399
392	0.0605278	0.53362	0.23577
393	0.078106	0.684242	0.325935
394	0.0676014	0.617689	0.313828
395	0.0484191	0.531554	0.236848
396	0.0734418	0.625009	0.332703
397	0.0904807	0.597076	0.243632
398	0.0540362	0.55355	0.264907
399	0.0798097	0.67241	0.344573
400	0.204216	2.00811	0.94953
401	0.0661596	0.712998	0.347225
402	0.0752275	0.744953	0.398222
403	0.205536	1.70935	0.950688
404	0.113063	0.837804	0.524018
405	0.276583	2.66149	1.15016
406	0.107642	0.566456	0.253335
407	0.0563113	0.585981	0.23168
408	0.08055	0.71252	0.413654
409	0.30381	0.999628	0.314396
410	0.0620736	0.551096	0.242363
411	0.0759343	0.623476	0.337539
412	0.100021	0.594723	0.215534
413	0.0506011	0.533846	0.258935
414	0.0672348	0.636658	0.330241
415	0.0828799	0.64963	0.379399
416	0.0576327	0.543088	0.255536
417	0.0796473	0.75068	0.379037
418	0.218708	2.06039	0.948228
419	0.0772068	0.642268	0.283667
420	0.0791951	0.680121	0.376734
421	0.262267	2.08586	1.01925
422	0.115022	1.37504	0.659684
423	0.278218	2.67506	1.15418
424	0.0888129	0.569521	0.292005
425	0.0462962	0.544827	0.250628
426	0.084866	0.744589	0.462657
427	0.072407	0.582533	0.284082
428	0.0588295	0.598706	0.233728
429	0.082852	0.757955	0.370369
430	0.157347	0.567416	0.242388
431	0.0499722	0.585255	0.239323
432	0.0705126	0.676264	0.351024
433	0.0937224	1.29505	0.564172
434	0.0907234	0.858912	0.417763
435	0.0892834	0.783735	0.370322
436	0.264628	2.05263	0.954282
437	0.0695427	0.636732	0.268961
438	0.0795172	0.740969	0.369068
439	0.264631	2.05194	0.953554
440	0.0671395	0.565063	0.270032
441	0.0987211	1.05879	0.547546
442	0.101734	1.05516	0.490149
443	0.0967069	0.777846	0.717398
444	0.0891073	0.857743	0.398911
445	0.103831	0.935404	0.482354
446	0.0981027	0.782465	0.409922
447	0.0874049	0.784527	0.372129
448	0.109205	0.966497	0.624116
449	0.125502	0.776319	0.387081
450	0.0881357	0.825867	0.389016
451	0.0861654	0.767492	0.441644
452	0.0690704	0.560159	0.27153
453	0.0749355	0.633583	0.300034
454	0.198534	2.04779	0.948175
455	0.0556024	0.68914	0.368287
456	0.0762883	0.640349	0.300121
457	0.153541	1.78041	0.787852
458	0.0681621	0.568025	0.254733
459	0.115804	1.1088	0.544641
460	0.0849149	0.755827	0.588178
461	0.0510108	0.538299	0.304601
462	0.0763523	0.650577	0.309147
463	0.0949548	0.864716	0.398422
464	0.0624814	0.572513	0.291586
465	0.0739534	0.634752	0.304424
466	0.0901352	0.637653	0.334421
467	0.0592591	0.602396	0.281634
468	0.0799041	0.657952	0.329358
469	0.119007	0.69022	0.357479
470	0.0550455	0.542147	0.269776
471	0.0685484	0.628689	0.299801
472	0.187668	2.04768	0.94855
473	0.058487	0.642073	0.374345
474	0.0749281	0.606657	0.273017
475	0.187672	1.75903	0.80284
476	0.0525204	0.560576	0.27795
477	0.135463	1.32143	0.622551
478	0.0841029	0.574179	0.488954
479	0.0443209	0.552118	0.244684
480	0.0702912	0.63244	0.299914
481	0.0775935	0.70149	0.280531
482	0.0585061	0.560391	0.257846
483	0.0707787	0.633045	0.300757
484	0.0703756	0.559068	0.301458
485	0.0544007	0.580591	0.247514
486	0.0768414	0.641749	0.312132
487	0.0931611	0.557418	0.261542
488	0.0468007	0.531404	0.22149
489	0.0698587	0.598658	0.292657
490	0.208309	2.04837	0.94857
491	0.0755651	0.913964	0.403362
492	0.0688859	0.581841	0.263174
493	0.198291	1.84163	0.832129
494	0.0585953	0.566686	0.247292
495	0.122148	1.22367	0.596504
496	0.075332	0.598891	0.332991
497	0.0458418	0.512878	0.218384
498	0.0696329	0.625959	0.306047
499	0.0758693	0.568333	0.270851
500	0.0462409	0.529059	0.226431
501	0.0671758	0.61189	0.296241
502	0.0781524	0.584503	0.229177
503	0.0553591	0.516089	0.212732
504	0.0705552	0.620247	0.302277
505	0.0754863	0.798616	0.354726
506	0.0474501	0.557219	0.219707
507	0.0638625	0.59094	0.273335
508	0.190406	2.04881	0.867572
509	0.0738122	0.739123	0.569885
510	0.065484	0.555472	0.282469
511	0.203692	1.86871	0.788367
512	0.0727775	0.549373	0.261114
513	0.118638	1.25474	0.637731
514	0.120307	0.575576	0.280228
515	0.0458393	0.526175	0.227363
516	0.066459	0.596879	0.30918
517	0.0803278	0.626814	0.250878
518	0.0489438	0.562422	0.234737
519	0.0667738	0.580967	0.291211
520	0.0840378	0.658522	0.257151
521	0.0472422	0.534513	0.209883
522	0.0709715	0.600436	0.285335
523	0.0597411	0.734339	0.327004
524	0.0543338	0.575175	0.246978
525	0.0627511	0.614595	0.319191
526	0.262866	1.78896	0.948381
527	0.0854563	0.69409	0.352866
528	0.0658143	0.575487	0.291052
529	0.204107	1.90452	0.949453
530	0.105885	0.571056	0.416139
531	0.118208	1.33252	0.650994
532	0.121007	0.888955	0.334117
533	0.0425098	0.522847	0.21926
534	0.0650778	0.609622	0.331344
535	0.233771	0.798579	0.269201
536	0.0463182	0.583064	0.247563
537	0.0649885	0.602262	0.299333
538	0.0742022	0.657404	0.243512
539	0.048069	0.547898	0.212383
540	0.068972	0.587732	0.278045
541	0.0679256	0.582861	0.345309
542	0.0481009	0.610018	0.237497
543	0.0671944	0.615257	0.294434
544	0.191543	2.06186	0.949732
545	0.0756565	0.688867	0.258285
546	0.0667162	0.564205	0.271515
547	0.261999	2.08446	1.15467
548	0.114065	1.14377	0.651168
549	0.153184	1.40329	0.667369
550	0.0918296	0.641109	0.220288
551	0.0485339	0.52046	0.252442
552	0.0670296	0.596783	0.309443
553	0.239107	0.586878	0.270886
554	0.0522401	0.550126	0.223191
555	0.065155	0.584736	0.290082
556	0.278343	0.591331	0.350593
557	0.0566666	0.571445	0.23651
558	0.0669991	0.617719	0.301417
559	0.114542	0.630117	0.473021
560	0.0592696	0.533986	0.285874
561	0.0735436	0.602168	0.281967
562	0.279077	2.06267	0.961701
563	0.055684	0.607618	0.276736
564	0.066636	0.567951	0.296871
565	0.262125	2.08945	0.963986
566	0.112973	1.47018	0.652687
567	0.181479	1.44942	0.713019
568	0.159817	2.04644	0.352677
569	0.0572527	0.524034	0.207252
570	0.0670402	0.645767	0.338014
571	0.175182	0.960233	1.6149
572	0.0467875	0.52221	0.231369
573	0.0628493	0.593088	0.29684
574	0.0661457	0.618187	0.31858
575	0.0533814	0.536405	0.20618
576	0.0650179	0.623707	0.274896
577	0.125046	0.951883	0.4335
578	0.117376	0.789239	0.387742
579	0.0885185	0.788835	0.360503
580	0.264494	2.04988	0.949384
581	0.0625032	0.666052	0.276186
582	0.0776067	0.709802	0.349275
583	0.167018	1.93775	0.953036
584	0.0632047	0.567197	0.26398
585	0.0955831	1.0504	0.531977
586	0.0949356	0.948977	0.445865
587	0.0903922	0.870002	0.389386
588	0.087825	0.829156	0.393678
589	0.105276	0.957166	0.437165
590	0.0936126	0.803976	0.387092
591	0.0898386	0.810355	0.361451
592	0.103377	0.925124	0.436854
593	0.0960329	0.796739	0.42148
594	0.0880414	0.785668	0.377392
595	0.117422	1.00753	0.420202
596	0.0629488	0.626558	0.27077
597	0.0691148	0.624188	0.298383
598	0.205711	2.05135	0.949492
599	0.0587235	0.956531	0.281261
600	0.0739379	0.613899	0.295763
601	0.20371	2.04878	0.948843
602	0.0593256	0.55489	0.251092
603	0.108859	1.07054	0.532962
604	0.109251	0.99677	0.496558
605	0.0677154	0.533623	0.232603
606	0.0738759	0.649035	0.306565
607	0.117842	1.15831	0.543543
608	0.0626594	0.653391	0.27745
609	0.0676107	0.638287	0.306623
610	0.0932356	1.02707	0.522068
611	0.0892441	0.632254	0.267717
612	0.0826326	0.652927	0.324234
613	0.083902	0.681429	0.297821
614	0.0508323	0.555265	0.260622
615	0.0653703	0.579798	0.275715
616	0.189627	2.0475	0.94823
617	0.0742466	0.914705	0.382628
618	0.0710787	0.575908	0.272959
619	0.192047	1.84817	0.948289
620	0.0542211	0.578484	0.249701
621	0.111063	0.997449	0.508489
622	0.0771892	0.874687	0.333215
623	0.0513621	0.513546	0.210252
624	0.0693166	0.599904	0.285897
625	0.0842005	0.741075	0.450694
626	0.0557778	0.549986	0.236446
627	0.0629333	0.586868	0.27527
628	0.0855816	0.649906	0.2887
629	0.0549606	0.5474	0.237011
630	0.0738196	0.634684	0.315779
631	0.089385	0.894628	0.39302
632	0.0482261	0.531627	0.295026
633	0.0626742	0.571333	0.272306
634	0.20331	1.7845	0.948372
635	0.0748507	0.570529	0.355094
636	0.0634221	0.62653	0.351405
637	0.186165	1.55517	0.855506
638	0.056951	0.576652	0.256398
639	0.12135	1.08408	0.514252
640	0.0742293	0.632424	0.356045
641	0.0611097	0.532392	0.273244
642	0.0640129	0.590928	0.279078
643	0.333404	0.607531	0.267677
644	0.053399	0.544907	0.214085
645	0.0597939	0.579726	0.262972
646	0.0732599	0.564387	0.25727
647	0.0506305	0.537985	0.272713
648	0.0712294	0.617216	0.312415
649	0.0914274	0.644272	0.304805
650	0.0461171	0.560304	0.321336
651	0.061438	0.586056	0.257678
652	0.189617	1.90929	0.948555
653	0.0537368	0.639002	0.303708
654	0.0661634	0.568454	0.246761
655	0.1969	1.7614	0.883477
656	0.0547939	0.545271	0.247285
657	0.118693	1.1787	0.536431
658	0.0802271	0.649519	0.348475
659	0.0446169	0.626724	0.232139
660	0.0649088	0.638252	0.290408
661	1.32394	6.0216	0.24551
662	0.0503886	0.542539	0.270995
663	0.0583652	0.620734	0.255135
664	0.080579	0.582845	0.254905
665	0.0468481	0.540773	0.227394
666	0.070982	0.592454	0.282989
667	0.0901391	0.755915	0.330019
668	0.0823922	0.602603	0.249257
669	0.05541	0.571269	0.283416
670	0.266397	1.90972	0.962806
671	0.0837613	1.34776	0.557183
672	0.0625496	0.571031	0.317803
673	0.189544	1.71097	0.840602
674	0.0781909	0.596229	0.418115
675	0.11446	1.21975	0.644643
676	0.274485	0.58526	0.330756
677	0.0409977	0.503771	0.258969
678	0.0631784	0.628621	0.301966
679	12.8241	0.603819	0.309171
680	0.0699102	0.604542	0.24613
681	0.0554007	0.553943	0.26564
682	0.0615679	0.589084	0.315405
683	0.0426603	0.547617	0.228402
684	0.0638089	0.588565	0.28041
685	0.0943118	0.743575	0.887237
686	0.0558326	0.545188	0.214163
687	0.0609212	0.544834	0.252062
688	0.261478	2.06776	0.95469
689	0.0775592	0.610509	0.390427
690	0.0627715	0.56504	0.252149
691	0.23348	2.08467	0.961585
692	0.0853699	0.831089	0.504599
693	0.14935	1.35489	0.65577
694	0.081217	0.543811	0.235544
695	0.0619535	0.510753	0.259587
696	0.0610831	0.577857	0.292658
697	2.15971	0.660136	0.300908
698	0.0441609	0.645248	0.2082
699	0.0583396	0.550226	0.252027
700	0.0518622	0.670673	0.322737
701	0.043971	0.570764	0.237019
702	0.0655294	0.578194	0.255037
703	0.0886398	1.19182	1.02667
704	0.0451004	0.531434	0.232076
705	0.0586036	0.560678	0.25951
706	0.27786	2.08587	0.985097
707	0.0539183	0.627003	0.276418
708	0.0573206	0.57588	0.244118
709	0.272127	2.08484	0.961626
710	0.0885092	0.800388	0.504836
711	0.178936	1.39155	0.657861
712	0.183836	0.56691	0.399344
713	0.0354206	0.521807	0.202557
714	0.063609	0.568719	0.276268
715	13.5733	0.556354	0.467944
716	0.0719507	0.636788	0.37426
717	0.0557644	0.566652	0.258436
718	0.0923774	0.581265	0.227554
719	0.0462459	0.528025	0.205944
720	0.0628676	0.563328	0.247059
721	0.100471	0.842142	0.397366
722	0.0881998	0.844424	0.388951
723	0.0837502	0.822962	0.378127
724	0.174389	2.04863	0.951141
725	0.0613897	0.670493	0.279163
726	0.0796816	0.740595	0.35165
727	0.173115	2.21286	1.03876
728	0.0662864	0.627786	0.2697
729	0.0909894	1.03086	0.519557
730	0.102231	0.913751	0.425754
731	0.0902249	0.937961	0.421944
732	0.0901109	0.86517	0.397774
733	0.0930109	0.857526	0.424902
734	0.0898528	1.02725	0.381439
735	0.0859081	0.781526	0.378218
736	0.0966859	0.937295	0.427576
737	0.0868999	0.79011	0.362491
738	0.0898998	0.801413	0.411191
739	0.121682	0.957411	0.44946
740	0.0681649	0.547002	0.25097
741	0.0644681	0.601908	0.303091
742	0.190397	2.0501	0.787522
743	0.0678455	0.888637	0.295795
744	0.0724543	0.605901	0.283383
745	0.202852	1.91258	0.950452
746	0.0568451	0.534197	0.259369
747	0.103713	1.04154	0.525993
748	0.100704	1.10461	0.477758
749	0.0699021	0.52534	0.290759
750	0.0753365	0.645739	0.314305
751	0.132084	1.01972	0.381165
752	0.0671191	0.555409	0.282876
753	0.0642586	0.593951	0.305323
754	0.086099	0.799915	0.491398
755	0.0706493	0.559603	0.287188
756	0.0840655	0.645087	0.316657
757	0.0794458	0.638264	0.3184
758	0.0492524	0.550524	0.234197
759	0.0595186	0.57496	0.268598
760	0.189744	2.04985	0.953622
761	0.0646352	0.813111	0.299764
762	0.0668488	0.579081	0.265972
763	0.198987	1.92258	0.87514
764	0.0624144	0.540406	0.246662
765	0.109171	1.0264	0.528564
766	0.27783	1.17786	0.348124
767	0.0453812	0.557585	0.210974
768	0.0649638	0.613944	0.286836
769	0.0914205	0.657357	0.553332
770	0.0616811	0.576042	0.24034
771	0.0599306	0.5736	0.259816
772	0.0848671	0.928303	0.369191
773	0.059666	0.55375	0.32085
774	0.0719055	0.629404	0.290217
775	0.0861012	0.906819	2.13007
776	0.0516077	0.534975	0.226873
777	0.058029	0.554385	0.257147
778	0.256799	1.83919	0.949775
779	0.0725703	0.594428	0.262569
780	0.0659876	0.562096	0.250046
781	0.184414	1.7573	0.857281
782	0.0583926	0.583384	0.240242
783	0.116101	0.976945	0.524346
784	0.0871398	0.542282	0.260905
785	0.0411131	0.518481	0.228167
