# k	cb	gl	xy
172	0.173052	0.0860636	0.0960439
173	0.0833532	0.0646283	0.0627847
174	0.0803465	0.0638155	0.0645444
175	0.0997374	0.0807258	0.0899795
176	0.0812674	0.0745055	0.0676741
177	0.0773343	0.0615677	0.0707152
178	0.0911052	0.101237	0.100323
179	0.0921047	0.0682953	0.0779394
180	0.0772247	0.0582068	0.068681
181	0.0878562	0.0746075	0.0728289
182	0.0871494	0.061952	0.0695277
183	0.0852849	0.0799103	0.0647673
184	0.145975	0.125256	0.119633
185	0.100098	0.0815245	0.0880772
186	0.082824	0.0716646	0.0760743
187	0.130575	0.120026	0.119519
188	0.104701	0.075096	0.080381
189	0.165986	0.150663	0.136753
190	0.103025	0.0631365	0.066492
191	0.0835065	0.0665402	0.0703651
192	0.0878974	0.0764257	0.0709986
193	0.107991	0.0603479	0.0702311
194	0.0931271	0.0634101	0.0662017
195	0.0902687	0.0749767	0.0696776
196	0.0889169	0.0715703	0.0740861
197	0.085078	0.069986	0.0670374
198	0.0830084	0.0608174	0.0601478
199	0.0802481	0.0566743	0.0750255
200	0.0804428	0.0665079	0.0713857
201	0.0820687	0.0762164	0.074637
202	0.143393	0.12626	0.120384
203	0.102127	0.0974268	0.0946822
204	0.0809144	0.0727613	0.0741338
205	0.1293	0.125096	0.118175
206	0.120372	0.10708	0.100754
207	0.169589	0.153969	0.139365
208	0.100236	0.0865515	0.0847045
209	0.0944349	0.0797333	0.0950248
210	0.0990992	0.0785169	0.0711537
211	0.0751334	0.0639717	0.070153
212	0.0916626	0.0604834	0.0626599
213	0.0810428	0.0734793	0.0725864
214	0.0842539	0.0648583	0.0721417
215	0.0825185	0.0593731	0.0646111
216	0.083537	0.0685922	0.0684974
217	0.0950278	0.0616524	0.0744725
218	0.0778423	0.0562083	0.0676083
219	0.0966063	0.0791327	0.0736219
220	0.152623	0.122836	0.120022
221	0.102341	0.098496	0.112907
222	0.0906544	0.0743078	0.0786715
223	0.130602	0.122623	0.119214
224	0.101607	0.0881434	0.0854476
225	0.169677	0.153998	0.139341
226	0.0916735	0.0692716	0.064478
227	0.0887867	0.0617089	0.0712859
228	0.105124	0.0865558	0.0756398
229	0.0756569	0.0714366	0.0733265
230	0.0851274	0.0587586	0.0684685
231	0.0985266	0.0803425	0.0759245
232	0.0840806	0.0669542	0.0630616
233	0.0934403	0.0678988	0.0734928
234	0.0935138	0.0608392	0.0645431
235	0.0852837	0.0600384	0.0610458
236	0.0809767	0.0616031	0.0730965
237	0.0942393	0.0859253	0.0763807
238	0.137092	0.124106	0.12062
239	0.0909396	0.10538	0.117763
240	0.0931369	0.0710804	0.0798611
241	0.13268	0.118242	0.120445
242	0.111659	0.106878	0.107727
243	0.169973	0.15427	0.139568
244	0.087155	0.0733446	0.0756887
245	0.10586	0.0753651	0.0710386
246	0.0968783	0.0909531	0.0829542
247	0.0736562	0.0730481	0.0615725
248	0.0788667	0.0572465	0.0594062
249	0.0997451	0.0867934	0.0762453
250	0.0875018	0.0765922	0.0725151
251	0.110501	0.0663327	0.0683214
252	0.106313	0.0591371	0.0673293
253	0.0852137	0.0587573	0.0793845
254	0.0805234	0.0553619	0.0597926
255	0.0950239	0.0835318	0.0757893
256	0.139434	0.122245	0.120175
257	0.0937894	0.11804	0.0912654
258	0.090134	0.0754499	0.0825096
259	0.137629	0.133899	0.116968
260	0.125285	0.116061	0.111503
261	0.169817	0.15413	0.13944
262	0.0872643	0.0596494	0.0697464
263	0.0953489	0.0599869	0.0787374
264	0.105401	0.0968668	0.0881396
265	0.0832524	0.0584267	0.0636344
266	0.0966225	0.074963	0.0564124
267	0.0983452	0.0877901	0.0754894
268	0.104625	0.0746098	0.0840542
269	0.0945692	0.0634083	0.0724133
270	0.0800873	0.0742836	0.0714622
271	0.0784936	0.0783196	0.0785191
272	0.0739631	0.0631744	0.0658653
273	0.0895671	0.0844209	0.0808468
274	0.150608	0.117761	0.119047
275	0.11651	0.113257	0.102584
276	0.0883951	0.0793246	0.0823655
277	0.140137	0.124107	0.118699
278	0.140455	0.119012	0.110635
279	0.169818	0.154163	0.139487
280	0.107419	0.0674198	0.0696248
281	0.0977769	0.0732324	0.0626698
282	0.122083	0.0950274	0.083717
283	0.0891497	0.0626645	0.0737801
284	0.0900366	0.0739923	0.072204
285	0.0940964	0.0826124	0.0756426
286	0.0979464	0.0605546	0.0822459
287	0.0852596	0.053514	0.0688198
288	0.100991	0.0731604	0.0691614
289	0.0823282	0.0666939	0.0695244
290	0.087429	0.0625014	0.0653012
291	0.0803157	0.0600495	0.0626088
292	0.128252	0.123063	0.120687
293	0.0895151	0.0944244	0.0929769
294	0.0829979	0.0703268	0.0736855
295	0.120934	0.123218	0.123351
296	0.086823	0.0506316	0.0558021
297	0.0940424	0.072403	0.0756102
298	0.0970038	0.0656919	0.0728148
299	0.0816173	0.0630456	0.0670854
300	0.0811582	0.0601199	0.0629056
301	0.0825197	0.0657917	0.0732689
302	0.0857218	0.0608708	0.0653972
303	0.0777636	0.0610438	0.0625209
304	0.0811795	0.0640238	0.0660661
305	0.0926872	0.0586666	0.0597862
306	0.0752128	0.0609542	0.0632242
307	0.0928453	0.0870302	0.0764033
308	0.0770939	0.0621229	0.0659728
309	0.0770807	0.0571562	0.0629607
310	0.147596	0.123862	0.118844
311	0.0922761	0.0912438	0.091941
312	0.0831198	0.060178	0.0713954
313	0.12466	0.125779	0.121033
314	0.0891121	0.0529222	0.0619893
315	0.107109	0.0932818	0.0913951
316	0.0918132	0.0784315	0.0736584
317	0.0855205	0.0761376	0.066139
318	0.0795535	0.0639699	0.0672461
