0	1.215	6.263	3.069
0.5	1.45	8.483	4.851
1	1.35	8.986	4.913
2	1.32	10.66	5.577
3	1.042	13.265	6.996
4	1.354	13.369	6.739
5	1.254	13.435	6.71
6	1.2	13.607	6.763
7	1.195	14.223	6.963
8	1.02	13.496	7.134
9	0.989	13.594	7.148
10	0.992	13.531	7.195
11	0.9	13.396	6.727
12	0.911	14.519	7.287
24	0.79	13.655	6.967
