0	0	0
0.29	1.25	0.15
0.3	2	0.22
0.3	2.54	0.29
0.31	2.81	0.33
0.31	3.33	0.39
0.32	3.56	0.47
0.31	3.79	0.43
0.31	3.78	0.43
0.31	3.96	0.46
0.31	3.94	0.48
0.31	4.02	0.5
0.31	3.94	0.5
0.32	4.35	0.57
0.32	4.45	0.59
0.32	4.56	0.62
0.33	4.61	0.65
0.33	4.82	0.68
0.33	5.06	0.72
0.33	5.18	0.72
0.33	5.18	0.71
0.33	5.28	0.72
0.33	5.37	0.74
0.33	5.33	0.72
0.33	5.33	0.72
