0	0.708	6.885	2.293
0.5	0.915	9.539	4.851
1	0.893	10.61	4.913
2	0.762	10.932	5.577
3	0.964	12.455	6.996
4	0.784	12.155	6.739
5	0.87	12.979	6.71
6	0.886	13.314	6.763
7	0.869	13.51	6.963
8	0.812	13.48	7.134
9	0.783	14.337	7.148
10	0.921	13.269	7.195
11	0.794	13.44	6.727
12	0.775	13.576	7.287
16	0.785	14.284	6.717
20	0.729	14.305	6.967
24	0.784	15.027	6.967
