0	1.066	6.006	3.15
30	1.22	7.711	4.5
60	1.258	9.085	5.059
120	1.228	10.227	5.536
180	1.33	12.006	6.229
240	1.322	12.969	6.596
300	1.392	14.34	7.256
360	1.408	15.335	7.655
420	1.342	16.152	7.969
480	1.421	17.046	8.358
540	1.324	16.877	8.162
600	1.366	17.251	8.316
660	1.211	16.03	7.723
720	1.104	14.814	7.127
960	1.062	15.116	7.202
1440	1.112	17.51	8.262
