# k	cb	gl	xy
1	0.140634	0.113778	0.108222
2	0.119161	0.102132	0.100611
3	0.126812	0.0863709	0.0869811
4	0.0988446	0.0707808	0.0760635
5	0.0779373	0.0644942	0.0667153
6	0.0712853	0.0573823	0.0637661
7	0.0738133	0.061431	0.067766
8	0.0741788	0.0622713	0.0689164
9	0.0744084	0.0629592	0.0708805
10	0.0791979	0.0626444	0.0709177
11	0.0790389	0.0621321	0.0705893
12	0.0818528	0.0638091	0.0713309
13	0.0819182	0.0640636	0.0721433
14	0.082775	0.0637086	0.0723602
15	0.0843342	0.0635392	0.0721542
