# k	cb	gl	xy
1	0.11522	0.141415	0.128456
2	0.115724	0.104142	0.103373
3	0.115954	0.0954191	0.0978325
4	0.0918229	0.0819068	0.0847776
5	0.0761698	0.0743646	0.0793127
6	0.0735335	0.0704643	0.0778276
7	0.0713866	0.071757	0.0778573
8	0.0738801	0.0726575	0.0800732
9	0.0728165	0.0733451	0.0822601
10	0.0753525	0.0734439	0.0836976
11	0.0748076	0.0729882	0.0832223
12	0.0752876	0.0737561	0.0838533
13	0.0753399	0.0739469	0.0860267
14	0.0762058	0.0744635	0.0865766
15	0.0760861	0.0743374	0.0877652
