# Wavelength	Beta
4793	-0.125701
4794	-0.158812
4795	-0.163672
4796	-0.13149
4797	-0.0735198
4798	-0.00658214
4799	0.0617439
4800	0.132584
4801	0.204349
4802	0.26894
4803	0.315175
4804	0.326801
4805	0.287158
4806	0.195585
4807	0.0742303
4808	-0.0455194
4809	-0.139384
4810	-0.194907
4811	-0.215987
4812	-0.226358
4813	-0.246303
4814	-0.268355
4815	-0.266634
4816	-0.221202
4817	-0.138845
4818	-0.0475977
4819	0.032992
4820	0.0978775
4821	0.14306
4822	0.165314
4823	0.166273
4824	0.147741
4825	0.105915
4826	0.037226
4827	-0.050138
4828	-0.137804
4829	-0.209019
4830	-0.253713
4831	-0.265576
4832	-0.242642
4833	-0.19109
4834	-0.120573
4835	-0.0373826
4836	0.0531106
4837	0.140472
4838	0.211899
4839	0.260335
4840	0.283608
4841	0.278182
4842	0.242645
4843	0.186547
4844	0.126937
4845	0.0752536
4846	0.0313992
4847	-0.0085731
4848	-0.0449538
4849	-0.0760299
4850	-0.100735
4851	-0.118831
4852	-0.130989
4853	-0.139889
4854	-0.149415
4855	-0.161077
4856	-0.171354
4857	-0.173714
4858	-0.163328
4859	-0.138886
4860	-0.104026
4861	-0.069393
4862	-0.0475377
4863	-0.0446221
4864	-0.0598659
4865	-0.0892064
4866	-0.1257
4867	-0.158778
4868	-0.179939
4869	-0.19124
4870	-0.20172
4871	-0.214158
4872	-0.221415
4873	-0.218231
4874	-0.210311
4875	-0.206403
4876	-0.205686
4877	-0.198039
4878	-0.175705
4879	-0.142821
4880	-0.113432
4881	-0.0983316
4882	-0.0959794
4883	-0.0974316
4884	-0.096211
4885	-0.0908376
4886	-0.0802276
4887	-0.0626649
4888	-0.0408593
4889	-0.0239831
4890	-0.0207811
4891	-0.0317287
4892	-0.049375
4893	-0.0650719
4894	-0.0737494
4895	-0.0738159
4896	-0.0677255
4897	-0.0635642
4898	-0.0686977
4899	-0.0820317
4900	-0.0976852
4901	-0.112954
4902	-0.128863
4903	-0.145982
4904	-0.163126
4905	-0.178814
4906	-0.192073
4907	-0.201476
4908	-0.205015
4909	-0.202284
4910	-0.194092
4911	-0.179951
4912	-0.160098
4913	-0.139834
4914	-0.129008
