# Wavelength	Beta
4794	-0.214156
4795	-0.217388
4796	-0.181325
4797	-0.118015
4798	-0.0454223
4799	0.0286184
4800	0.106506
4801	0.188413
4802	0.26591
4803	0.324445
4804	0.343334
4805	0.303428
4806	0.205159
4807	0.0742261
4808	-0.0546729
4809	-0.15585
4810	-0.217107
4811	-0.243344
4812	-0.259148
4813	-0.284898
4814	-0.312575
4815	-0.315412
4816	-0.272105
4817	-0.188145
4818	-0.0919325
4819	-0.00506318
4820	0.0653924
4821	0.114716
4822	0.1404
4823	0.14498
4824	0.129865
4825	0.0896401
4826	0.0197532
4827	-0.0706287
4828	-0.161107
4829	-0.233523
4830	-0.27757
4831	-0.287557
4832	-0.262694
4833	-0.210331
4834	-0.140249
4835	-0.0576742
4836	0.0331916
4837	0.122195
4838	0.195988
4839	0.246932
4840	0.272632
4841	0.269226
4842	0.234551
4843	0.177728
4844	0.116595
4845	0.064178
4846	0.0212002
4847	-0.0173634
4848	-0.0538262
4849	-0.0874798
4850	-0.116857
4851	-0.140691
4852	-0.158524
4853	-0.171924
4854	-0.183756
4855	-0.194655
4856	-0.200777
4857	-0.196659
4858	-0.17968
4859	-0.150302
4860	-0.112621
4861	-0.0766087
4862	-0.0538175
4863	-0.0502051
4864	-0.065815
4865	-0.0974257
4866	-0.137968
4867	-0.175734
4868	-0.20075
4869	-0.214127
4870	-0.224592
4871	-0.234793
4872	-0.237846
4873	-0.229719
4874	-0.217869
4875	-0.212142
4876	-0.21154
4877	-0.20505
4878	-0.18436
4879	-0.153643
4880	-0.126849
4881	-0.114008
4882	-0.112511
4883	-0.112809
4884	-0.108793
4885	-0.0998085
4886	-0.0854083
4887	-0.064614
4888	-0.0412044
4889	-0.0250135
4890	-0.0242962
4891	-0.0381596
4892	-0.0579139
4893	-0.0746496
4894	-0.0839498
4895	-0.0849142
4896	-0.0798543
4897	-0.0757713
4898	-0.0788626
4899	-0.0877331
4900	-0.0973039
4901	-0.106505
4902	-0.11826
4903	-0.134357
4904	-0.153644
4905	-0.173881
4906	-0.192778
4907	-0.207361
4908	-0.214555
4909	-0.213706
4910	-0.205982
4911	-0.191481
4912	-0.171016
4913	-0.150311
4914	-0.139383
4915	-0.145904
4916	-0.16776
4917	-0.194009
4918	-0.213487
4919	-0.220807
4920	-0.21697
4921	-0.206754
4922	-0.193831
4923	-0.179927
4924	-0.169992
4925	-0.172143
4926	-0.187063
4927	-0.202086
4928	-0.200053
4929	-0.174773
4930	-0.137847
4931	-0.109056
4932	-0.101268
4933	-0.114936
4934	-0.139381
4935	-0.15618
4936	-0.14942
4937	-0.116839
4938	-0.0706876
4939	-0.0309764
4940	-0.0140497
4941	-0.0241355
4942	-0.0566244
4943	-0.102957
4944	-0.151742
4945	-0.191532
4946	-0.215853
4947	-0.225945
4948	-0.228866
4949	-0.232992
4950	-0.242002
4951	-0.250001
4952	-0.244427
4953	-0.217882
4954	-0.175021
4955	-0.127396
4956	-0.0862209
4957	-0.0592362
4958	-0.0496991
4959	-0.0580892
4960	-0.0840552
4961	-0.122934
4962	-0.159463
4963	-0.172357
4964	-0.15258
4965	-0.114522
4966	-0.0804612
4967	-0.0579591
4968	-0.0407691
4969	-0.0234818
4970	-0.0111834
4971	-0.0153793
4972	-0.0394661
4973	-0.0720372
4974	-0.0983123
4975	-0.113967
4976	-0.12557
4977	-0.139954
4978	-0.155979
4979	-0.164659
4980	-0.158638
4981	-0.141532
4982	-0.122882
4983	-0.107393
4984	-0.0925604
4985	-0.0764079
4986	-0.0624899
4987	-0.0562531
4988	-0.0595015
4989	-0.0689178
4990	-0.0802645
4991	-0.0928101
4992	-0.108228
4993	-0.12319
4994	-0.124685
4995	-0.105596
4996	-0.0800168
4997	-0.0670813
4998	-0.0767301
4999	-0.10771
5000	-0.146248
5001	-0.169847
5002	-0.171307
5003	-0.166528
5004	-0.16617
5005	-0.167943
5006	-0.167928
5007	-0.168339
5008	-0.172344
5009	-0.175394
5010	-0.167501
5011	-0.147065
5012	-0.125242
5013	-0.108688
5014	-0.0935183
5015	-0.0756681
5016	-0.06172
5017	-0.0636785
5018	-0.0844271
